"name.interviewer","village","type.respondent","sex","ethnicity","dob","animal","score","X_id","comm.type","category","number"
"Dominic","Okarara","Market","Female","Ejagham",1995,"Goat",10,176873491,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Greater cane rat",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Bushbuck",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Hawks and kites",6,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Helmeted guineafowl",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Hornbills",6,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Lobsters",10,176873491,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Mona monkey",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Nile monitor",1,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Ogilby's duiker",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Preuss's red colobus",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Rabbits",9,176873491,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Red river hog",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Red-capped mangabey",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Sheep",9,176873491,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Sitatunga",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Squirrels",1,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Stock fish",9,176873491,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Termite",1,176873491,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Tortoises",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Turkey",10,176873491,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"African brush-tailed porcupine",10,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"African palm civet",9,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Aquatic snail",10,176873504,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Bates' pygmy antelope",8,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Beef",10,176873504,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Carp",10,176873504,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Catfish",5,176873504,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Chicken",10,176873504,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Chicken egg",10,176873504,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Chimpanzee",6,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Common periwinkle",10,176873504,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Drill",10,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Duck",3,176873504,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Freshwater crab",10,176873504,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Freshwater shrimps",10,176873504,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Giant pangolin",4,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Giant land snail",10,176873504,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Goat",10,176873504,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Greater cane rat",9,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Lobsters",9,176873504,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Ogilby's duiker",8,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Preuss's monkey",6,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Red river hog",8,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Sheep",8,176873504,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Shrews",7,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Otters",4,176873504,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Stock fish",10,176873504,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Termite",5,176873504,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1986,"Turkey",10,176873504,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"African brush-tailed porcupine",9,176873507,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"African elephant",1,176873507,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Beef",3,176873507,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Black-bellied pangolin",7,176873507,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Carp",9,176873507,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Catfish",9,176873507,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Chicken",8,176873507,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Chicken egg",10,176873507,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Crested mona monkey",9,176873507,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Cusimanses",2,176873507,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Drill",10,176873507,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Freshwater shrimps",10,176873507,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Giant land snail",8,176873507,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Giant pouched rat",5,176873507,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Goat",2,176873507,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Greater cane rat",6,176873507,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Lobsters",10,176873507,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Red river hog",3,176873507,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Stock fish",1,176873507,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1994,"Turkey",8,176873507,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1985,"African brush-tailed porcupine",9,176873519,"Border","Wild meat",1
